#separator:tab
#html:true
#notetype:Basic
#deck:main
Torsor, phase space of the dynamical system, ergodicity	A torsor can be used to model a dynamical system where a group acts freely and transitively on a phase space. The phase space of the dynamical system is a torsor. Any state can be reached from any other state by a unique group action. The system is therefore perfectly predictable and has no "fixed points" or "cycles."
Group cohomology, extension of group G by abelian group A as torsor classified by second cohomology of group	second cohomology group H2(G,A) classifies extensions of a group G by an abelian group A. Visual Intuition: A group extension is a "twisted" product of two groups. The torsor structure captures the "twisting" of these extensions.
Principal bundle, naked torsor while vector bundle is dressed torsor	A vector bundle is associated with a principal bundle, which is a torsor for the general linear group. A vector bundle is constructed by "inflating" a principal bundle by the standard representation of GLn​. A principal bundle is a "naked" torsor, a space that is just a collection of group-acting points. The vector bundle is a "dressed" torsor, where each point is given a vector space, which is then acted upon by the group.
Principal bundle, definition via schemes of right actions of group schemes of principal Z_2 bundle over circle as double cover of the circle, Z_2 acts  as right action by swapping two points, either get Mobius strip or trivial bundle	principal bundle is a scheme P with a right action of a group scheme G such that the map P × G to P × P given by (p,g) to (p,pg) is an isomorphism. The projection map P to P/G is a faithfully flat morphism of schemes. Consider a principal Z2​-bundle over the circle S1, which is a double cover of the circle. The total space is a circle, and the fibers are two points. The group Z2​ acts on the fibers by swapping the two points. This can be visualized as a Möbius strip, which is locally two sheets but globally has a twist.
Principal bundle, torsor as principal bundle with a single fibre, a vector in a vector space is a torsor since it can reach any point with the vector as a group action, similar to torsors with dates	A torsor is a principal bundle with a single fiber. The group acts freely and transitively on the fiber. Consider a vector space V. Any two vectors in V are related by a unique vector addition, so V is a torsor for the vector space itself. The visual intuition is that a torsor is a space with a perfect, uniform tiling by a group, so that from any point, you can reach any other point with a unique group action. Similarly, you can reach any date using the group action of a day.
Principal bundle, covering map exp(2 pi i x) spiral staircase where G = Z and total space R as principal Z-bundle over S1, acting by translation, orbits are the fibres	principal bundle in topology is a fiber bundle P over a base space X with a topological group G acting on the fibers from the right, and the action is free and transitive. Consider the group G=Z acting on the real line R. The map e2πix from R to the circle S1 is a covering map. The total space R is a principal Z-bundle over S1. The group Z acts by translation, x to x + n, and the orbits are the fibers. This can be visualized as a spiral staircase over a circle.
Principal bundles, set of isomorphism classes is classified by Galois cohomology group measuring obstructions to principal bundle from being a trivial bundle, example of H1(Z, Z/2)	set of isomorphism classes of principal G-bundles over a scheme X is classified by the Galois cohomology group H1(X,G). The first cohomology group measures the obstructions to a principal bundle being a trivial bundle. For the ring Z, the obstructions for a principal Z2​-bundle are the number of ways it can be a non-trivial double cover.
Principal bundle, homogenous space as principal bundle with a single fibre (torsor) example orthogonal O(3) acts as torsor over sphere S^2, sphere S^2 is homogenous space for orthogonal group O(3)	homogeneous space is a manifold on which a Lie group acts transitively. A homogeneous space is a principal bundle with a single fibre. It's a space that is perfectly tiled by a group action. For example, the sphere S2 is a homogeneous space for the orthogonal group O(3)
Moduli space, set of all lines passing through origin parameterised by angle, projective line is moduli space for set of lines through origin	A moduli space is a geometric space whose points represent isomorphism classes of some type of geometric object, such as elliptic curves, vector bundles, or Riemann surfaces. Visual Intuition: Consider the set of all lines in the plane passing through the origin. This set can be parameterized by the angle a line makes with the x-axis, but with a slight subtlety: angles θ and θ+π correspond to the same line. The space of all such lines is the projective line, P1. This is a moduli space for the set of lines through the origin.
Moduli space, moduli space of representations for commuting matrices using ring of two variables	The moduli space of representations of the ring of polynomials in two variables, k[x,y], is a space whose points correspond to pairs of commuting matrices. The geometry of this space is a reflection of the algebraic properties of the ring.
Principal bundle, visualisation of a frame of a vector space, with the general linear group acting on the frame of reference via the change of basis. Frame bundles lack a canonical choice of identity	Consider the Cartesian product X * G, for a space X and group G. Typical example is vector space X, and vector bundle E, with a group GLn(X), then F(E) is a frame bundle which is an example of a principal bundle. The general linear group acting on the frame of reference via the change of basis. Frame bundles lack a canonical choice of identity.
p-group fixed point theorem, definition	Let G be a finite p-group acting on a finite set X, Let X^G denote the subset of X consisting of elements fixed by G then |X^G| is congruent to |X| mod p, in particular if p does not divide |X|, then G has a fixed point.
p-group fixed point theorem, combinatorial counting argument	Partition a set to orbits, then use the fact that size of any non-fixed orbit must be a multiple of p, to get a congruence relation.
p-group fixed point theorem, links divisibility to the order of the group	links divisibility of the group's order to the divisibility of orbit sizes, prove existence results by showing a certain count is divisible by p.
p-group fixed point theorem, formalises group action inertia	Grop action may have some fixed points.
p-group fixed point theorem, special case of orbit stabiliser theorem	Leverages specific properties of p-groups to simplify the more complex orbit sum formula
p-group fixed point theorem, existence proofs	Define a clever group action, use the theorem to prove the existence of properties like nontrivial centers
p-group fixed point theorem, nilpotency marker	nilpotency shows how close a group is to being abelian
p-group fixed point theorem, partitioning strategy	Highlights how you can partition a set to disjoint orbits
p-group fixed point theorem, nontrivial center or X^p is nilpotent	Consider group X^p \ {0}, cardinality p^n - 1, for X, not divisible by p, nontrivial center of fixed point exists.
Ultrafilter, formalisation of almost all i in I without using measure theory	picture the natural numbers on the horizontal axis. A nonprincipal ultrafilter is like choosing one single “direction to infinity”: for every subset A of N, the ultrafilter “declares” either A is large (contains that direction) or its complement is large. Concretely, imagine a point p in the (compact, totally disconnected) space βN (the Stone-Cech compactification); that point determines which infinite subsets are neighborhoods of p — exactly the ultrafilter. Ultrafilters formalize the notion “for almost all i in I” without measure. They let you pass from sequences (a_i), for i in I​ to a single limit object (an ultralimit) by declaring equality/limit along U. This is the basis of ultraproducts, nonstandard analysis, asymptotic cones, and many combinatorial-algebraic transfer arguments.
Ultrafilter, binary choice on every question about subsets	an ultrafilter is a collection of subsets of a set I i.e. ultrafilter U is in the power set of I satisfying (1) filter, closed under supersets and finite intersections; (2) for all subsets A of I, either A is in the ultrafilter U or the complement of A is in the ultrafilter of U. This ties into the ultrafilter answering questions about subsets.
Nonprincipal ultrafilter, a direction to infinity that doesn't pass through any specific point, useful for defining the Stone Cech compactification later	an ultrafilter U on an infinite set I is a nonprincipal ultrafilter if it contains all cofinite subsets of the infinite set I (it contains no finite sets), formally, nonprincipal means it is not generated by a single element in the ultrafilter.
U-large set, set that contains chosen direction to infinity	a U-large set is a subset A of I  such that A is an element of the ultrafilter.
Stone-Cech compactification, hold all possible directions to infinity as points	unique largest compactification of a discrete space. The points of beta I are precisely the ultrafilters of I.
Ultraproduct, declaring sequences equivalent if they agree on U-large set of indices, payoff is the hyperreals in characteristing first order logic and Los's theorem	the quotient of the Cartesian product under the equivalence relation that sequences are equivalent if and only if the indices are equal, and this set of indices is U-large.
Ultraproducts, collapses the enormous product into one object by “forgetting” small (non-U-large) disagreements	Consider the cases of A_i= F_p,i (finite fields) or A_i = Z/nZ. Visualize each coordinate as a column of colored tiles (one tile per i). An element of the product is a whole tiling (a choice of tile per column). The ultrafilter draws a bold “selection lens”: two tilings are identified if they match on a U-large set of columns. The ultraproduct. Given structures (Ai)_i in I of the same signature and an ultrafilter U on I, the ultraproduct prod(i) to UAi is the quotient of the direct product prod_i (A_i) by the equivalence relation: (a_i)  equivalent to (b_i) if i is in ultrafilter I and a_i = b_i. Interpret operations coordinatewise on equivalence classes.
Ultralimit, conclusion or value we get by agreeing that "almost all" of the sequence terms belong to any neighborhood of this value	An point x in a topological space is the ultralimit if for every neighbourhood V of point x, the index set of a_i in sequence (a_i), i is in infinite set I, a_i is in neighbourhood V is U-large.
Mathematical structure (L-structure, model), type of mathematical object	M_i is a single mathematical structure indexed by element i, some examples include a list of all groups, all fields or all first model sharing a language L
Los's theorem, ultraproduct inherits all first-order logical properties that hold true for "almost all" (U-large) of the original structures	A first order sentence phi_i is true in the ultraproduct if and only if the set of indices the set of indices for i in infinite set I such that premises of a mathematical structure M_i leads to semantic consequence (entailment of) first order sentence phi_i.
Double turnstile, semantic consequence (entailment)	you simply need truths to be preserved in all models, there are no remarks on provability.
Single turnstile, syntatic consequence (provability)	this is simple implication, if P is true, and P implies Q is true, then (the word then is where it is used) Q is true.
Ultrafilters, identification combinatorial objects with topological dynamics	Picture N embedded as isolated points in a huge compact, totally disconnected space βN. Nonprincipal ultrafilters are limit points of sequences of natural numbers (but not in the metric sense). Concretely: pick subsets like the even numbers, primes, arithmetic progressions; a point p in βN is a consistent “choice” deciding for each such subset whether the neighborhood contains p. Geometrically, those decision-patterns create clopen neighborhoods that refine to the single point p. The Stone space of the Boolean algebra P(I) has points that are ultrafilters on I; for I being the natural numbers this is the Stone-Cech compactification βN. A subset A in N corresponds to the clopen set {p in βN such that A is in p}.  This identifies combinatorial objects with topological dynamics: idempotent ultrafilters in βN produce recurrence theorems (Hindman, van der Waerden). It is also the right setting for translating combinatorial statements into topological fixed-point-like theorems. This identifies combinatorial objects with topological dynamics: idempotent ultrafilters in βN produce recurrence theorems (Hindman, van der Waerden).
Spectrum, a linear transformation T in R^2 represented by a matrix. The eigenvectors are the directions (vectors) that get stretched or shrunk but not rotated. The spectrum is the set of these stretching factors of the eigenvalues. For a more general operator on an infinite-dimensional space, an element in the spectrum isn't necessarily an eigenvalue. It's a "near eigenvalue." It's a value lambda where (A−lambda I) isn't invertible. Imagine the operator A as a machine that transforms vectors. If you feed in a vector v and get a result close to lambda v for some λ, then λ is in the spectrum. The visual intuition is that the spectrum is the set of all possible "scaling factors" of the operator. For example, for the differentiation operator D=d/dx on the space of polynomials, its spectrum is the entire complex plane, because for any lambda, the equation D f− lambda f=g can be difficult to solve	The spectrum of a bounded linear operator A on a Banach space X is the set of all lambda in C for which the operator (A − lambda I)does not have a bounded inverse. This is a generalization of the concept of eigenvalues for finite-dimensional matrices.
Spectrum, electron in an atom. Its energy is an observable. The possible energy levels are discrete and quantized, forming a discrete spectrum. This is like a ladder of allowed energy levels. If you measure the electron's energy, the result must be one of the values on the ladder. For a free particle, its momentum can take on any real value, so its spectrum is continuous, like a ramp. The spectrum is a visual representation of the allowed states or outcomes of a physical system. For the position operator X on L^2(R), the spectrum is the real line R	The spectrum of a self-adjoint operator in a Hilbert space represents the set of all possible outcomes of a physical measurement. An observable, like position or momentum, is represented by such an operator, and its spectrum gives the possible values that can be measured.
Spectrum, a musical chord. It's a combination of different pure tones, each with a specific frequency and amplitude. The spectrum of the sound wave is a plot showing which frequencies are present and how strong they are. For a pure sine wave, the spectrum is a single point at its frequency. For a more complex function, the spectrum is a collection of points or a continuous curve. The Fourier transform takes a function in the time domain and gives us its spectrum in the frequency domain. For example, the function f(t)=cos(2 pi t)+cos(4 pi t) has a spectrum with two peaks, one at frequency 1 Hz and another at frequency 2 Hz	The spectrum of a function is the set of frequencies present in its Fourier transform. It tells us which sinusoidal components make up the function.
Spectrum a network of interconnected nodes, like social media users or a transportation system. The eigenvalues of the graph's adjacency matrix reveal how well-connected the graph is. A graph with a larger number of distinct eigenvalues is often more complex. For example, the spectrum of a complete graph _​ is (n−1,−1,...,−1), while the spectrum of a path graph is quite different. The spectrum can be seen as a fingerprint of the graph's structure	the spectrum of a graph is the multiset of eigenvalues of its adjacency matrix, or a related matrix like the graph Laplacian. These eigenvalues provide information about the graph's structure, like its connectivity and diameter.
Spectrum, vibrating drumhead. Its vibration pattern is a solution to the wave equation. The possible modes of vibration are the eigenfunctions of the Laplacian operator on the drumhead. Each mode vibrates at a specific frequency, which is an eigenvalue. By representing any vibration as a sum of these modes, we can solve the wave equation. The spectrum of the Laplacian gives us the fundamental building blocks for all possible solutions	The spectrum of an operator is used to solve partial differential equations (PDEs) using spectral methods. We represent the solution to a PDE as a sum of basis functions, which are the eigenfunctions of a related operator.
Spectrum, gives us information about the manifold's geometry, like its volume and curvature. For example, the eigenvalues of the Laplacian on a circle are related to integers, while the eigenvalues on a square are related to the sum of squares of integers. The spectrum is a way to "fingerprint" the geometry of a space	The spectrum of a compact Riemannian manifold is the set of eigenvalues of its Laplace-Beltrami operator. These eigenvalues are a geometric invariant of the manifold.
Spectrum, particle jumping between a finite number of states. The transition probabilities are given by a matrix. The eigenvalues of this matrix tell us how quickly the particle's long-term distribution of states stabilizes. If the second largest eigenvalue is close to 1, it takes a long time to converge. If it's close to 0, it converges quickly. The spectrum is a measure of the "mixing time" of the chain	The spectrum of the transition matrix of a finite state Markov chain provides information about its long-term behavior. The largest eigenvalue is always 1, and its corresponding eigenvector gives the stationary distribution. The other eigenvalues govern the rate of convergence to this distribution.
Spectrum, a compact operator "squishes" infinite-dimensional spaces down to something resembling a finite-dimensional space. The spectrum of such an operator reflects this. The eigenvalues are countable and tend to zero. This is like a sequence of "stretching factors" that get smaller and smaller. An example is the integral operator T f(x)= integral of 0 to 1​K(x,y)f(y)dy for a continuous kernel K. Its spectrum is a sequence of eigenvalues converging to zero	The spectrum of a compact operator is a discrete set of eigenvalues with accumulation point at zero. This means that a compact operator's spectrum behaves more like a finite-dimensional operator's spectrum than a general infinite-dimensional operator's.
Spectrum, residual spectrum is a set of "bottlenecks." For a value λ in the residual spectrum, the operator (A−e I) maps different vectors to different vectors (it's injective), but it doesn't "fill up" the entire space, not even densely. There are "holes" in the image. An example is the right-shift operator on the Hilbert space l^2. The set of points inside the unit disk is its residual spectrum	The residual spectrum of an operator A is the set of e for which (A−e I) is injective but its range is not dense in the space.
Spectrum, convex body gives information about its curvature. For a sphere, the curvature is constant, and its spectrum is a simple set of eigenvalues. For a non-spherical convex body, the curvature varies, and the spectrum provides a detailed description of these variations. The spectrum can be a "curvature fingerprint" of the convex body	The spectrum of a convex body can be defined via the eigenvalues of its Hessian of the support function.
Spectrum, family of vibrating strings whose tension is slowly changed. As the tension changes, the frequencies of vibration change. Spectral flow counts how many times a frequency becomes zero. This concept is used in index theory to count the number of zero modes of a family of operators. It's like tracking the number of times a moving target crosses a fixed line	Spectral flow is a concept from global analysis that measures how the spectrum of a family of self-adjoint operators changes as a parameter is varied. It counts the number of eigenvalues that cross zero.
Spectrum, stationary stochastic process is one whose statistical properties do not change over time. Its spectral measure tells us how much "energy" or "variance" is contained in different frequency bands. A process with a spectral measure concentrated at low frequencies is slow-moving, while a process with a spectral measure at high frequencies is fast-moving. The spectral measure is like a power spectrum of the random process	The spectral measure of a stationary stochastic process is a measure on the frequency domain that describes the distribution of power across different frequencies.
Functional, Riesz representation theorem states that any positive linear functional on the space of continuous functions with compact support can be represented as integration with respect to a measure. . For example, the functional L(f)= integral from 0 to 1 of ​f(x) dx for a function f on [0,1] is a functional. The geometric intuition is that the functional "weighs" the input function according to some underlying measure. The value of the functional is the "total weight" or "volume" of the function, where the weights are given by the measure	A functional is a linear map from a space of functions (e.g., continuous functions with compact support) to the real numbers. It can be seen as a generalized integral.
Functional, support functional of a convex body K in Rn. For a direction vector u, the support functional h_K​(u) gives the maximum distance of any point in K from the origin in the direction of u. Geometrically, this is the signed distance from the origin to the support hyperplane perpendicular to u. For a square in R^2, its support functional takes on values representing the distance from the origin to each of its four sides, depending on the direction u	A functional in convex geometry is a mapping from a convex set (e.g., a shape without indentations) to a real number, often representing a geometric property.
Functional, expected value functional E[X]= integral over outcome space Omega ​X(omega) dP(omega) for a random variable X. This functional maps a random variable to its expected value, which is a single number. Geometrically, for a random variable with a probability density function (PDF), the expected value is the "center of mass" or balance point of the PDF. For a normally distributed random variable, the functional maps the bell curve to its mean	A functional is a map from a space of random variables (or random processes) to the real numbers. It can be thought of as a statistic or a quantity derived from a random process.
Functional, Dirac delta functional δa​ is the quintessential example. It maps a test function ϕ(x) to its value at a single point a, i.e., δ_a​(ϕ) = ϕ(a). So the Dirac delta function turns a map into a point, like a reverse functor of points, as a map of a map. Geometrically, the Dirac delta can be visualized as an infinitely tall, infinitely thin spike at a point a, with a total "area" of 1. While not a true function, it acts as a functional that "picks out" the value of a function at a specific point	A functional, also known as a distribution or a generalized function, is a continuous linear map from a space of "test functions" (e.g., infinitely differentiable functions with compact support) to the real numbers.
Functional, wave front set of a distribution, which is a key concept in microlocal analysis. A functional can be used to "test" for the regularity of a distribution at a specific point and in a specific direction. For example, a functional could be designed to "look for" singularities (discontinuities or non-differentiable points) in a distribution along a certain ray in phase space. The functional maps the distribution to a value that is nonzero if there's a singularity and zero otherwise	A functional in microlocal analysis maps a distribution to a value, and its properties are studied locally in both position and frequency (or direction).
Functional, action functional in classical mechanics is a prime example. It maps a path (a function of time) to a single number, the action, which is the integral of the Lagrangian along the path. The principle of least action states that the actual path taken by a physical system is the one that minimizes or extremizes this functional. Geometrically, this means finding the "smoothest" or "most efficient" path through the function space of possible trajectories, which corresponds to a geodesic-like curve on the infinite-dimensional manifold	A functional is a mapping from an infinite-dimensional manifold (e.g., a space of functions) to the real numbers. It's often used to define a notion of energy, action, or other physical quantity.
Functional, Fourier transform can be seen as a family of functionals. For a function f(x), the Fourier transform f^​(ξ) is a new function, where each value f^​(ξ) is a functional that maps f to a complex number. . The functional is Fξ​(f) is an integral over the reals of ​f(x) exp(−2πixξ) dx. Geometrically, each such functional "projects" the function f onto a specific frequency basis function exp(−2πixξ). The value of the functional tells us how much of that specific frequency is present in the original function	A functional is a continuous linear map from a space of functions (e.g., L^p spaces) to the complex numbers. They are used to study the "frequency content" of a function.
Functional, Dirichlet energy functional is a classic example. For a function u defined on a domain Ω, the functional is E(u) = 0.5 integral over domain ​| Laplacian u |^2 dx. This looks like energy. Solutions to the Laplace equation are those that minimize this functional. Geometrically, a solution to the Laplace equation (a harmonic function) can be visualized as a surface that is "as flat as possible" while satisfying certain boundary conditions, like a soap film stretched over a wire frame. The functional gives a numerical value for the total "tension" or "energy" of the surface	A functional is a map from a space of functions to the real numbers, often representing the "energy" of a solution to a PDE.
Functional, Hahn-Banach theorem states that any continuous linear functional defined on a subspace can be extended to the entire space without increasing its norm. Geometrically, in a normed vector space, a continuous linear functional can be visualized as a hyperplane. The theorem states that if you have a convex set and a point not in the set, you can always find a hyperplane that separates them. The functional itself defines the hyperplane, and its value tells you which side of the plane a vector is on	A functional is a linear map from a vector space to its underlying field (usually the real or complex numbers). It is a fundamental building block for defining topology and geometry in infinite-dimensional spaces.
Functional, vector space of column vectors R3. A linear functional can be represented as a row vector. For example, the functional f(v1​,v2​,v3​) = (1,2,3) * (v1​,v2​,v3​)^T = v1​ + 2v2​ + 3v3​. Geometrically, this functional maps every vector to a single number. The set of all vectors that map to the same value (e.g., f(v)=c) forms a hyperplane in R3. The family of all such hyperplanes for different values of c are parallel to each other	A functional is a linear transformation from a vector space V to its field of scalars F. It's simply a linear map f: V to F.
Functional, Brachistochrone problem is a historical example. The functional to be minimized is the time it takes for a bead to slide down a curve from point A to point B under gravity. The functional is T(y) = from A to B, sqrt(1 + y'^2)/ \sqrt(2gy(x)), where y(x) is the curve. The space of "all possible curves" is an infinite-dimensional space. The functional maps each curve to a single number (time). The solution is the specific curve (a cycloid) that has the minimum value	A functional is a map from a space of functions to a real number, whose value is usually an integral involving the function and its derivatives. The goal is to find the function that minimizes or maximizes the functional.
Functional, Shannon's entropy functional is a fundamental concept. For a discrete probability distribution P=(p1​,p2​,…,pn​), the functional is H(P) = negative expectation of log p_i in base 2 over n . The value of the functional is the average number of bits needed to encode a message from a source with this distribution. Geometrically, for a simple coin flip with probability p of heads, the entropy functional can be visualized as a parabola, with its maximum at p=0.5 (maximum uncertainty)	A functional is a map from a space of probability distributions to a real number, representing a measure of information or uncertainty.
Functional, finite element method, a complex problem (like solving a PDE) is converted into finding a function that minimizes a functional. . The functional is defined on a space of functions (often piecewise polynomials). We approximate the function space with a finite-dimensional one (defined by the mesh) and find the vector of coefficients that minimizes the functional. The geometric intuition is that we are finding the "best-fit" function from a simpler, finite-dimensional space that is "closest" to the true solution in terms of minimizing the functional	A functional is a map from a function space to the real numbers, used to approximate solutions to problems by minimizing or maximizing the functional.
Functional, free energy functional in statistical mechanics. It is a functional of a probability distribution or density. . The equilibrium state of a system is the distribution that minimizes this functional. Geometrically, we can imagine the space of all possible configurations of a system as a high-dimensional landscape. The functional maps each configuration to a single value (the free energy). The system "rolls downhill" to the configuration that minimizes this functional, representing the most stable or probable state	A functional can represent a thermodynamic potential that depends on a probability distribution or configuration of a system.
Functional, thee cost functional for an optimal control problem. For a system with dynamics defined by a differential equation, the functional maps a control policy (a function of time) to a single number representing the total cost. . The goal is to find the control policy (e.g., how the rocket's thrust changes over time) that minimizes this functional. Geometrically, we are searching through the infinite-dimensional space of all possible control functions to find the single function that leads to the "cheapest" or "most efficient" trajectory	A functional can be used to model and optimize systems, where the "cost" or "objective" depends on a function.
Functional, Energy Functional of a signal x(t) is given by E integral over the real line as support of x(t)^2. This functional maps the signal to a single number representing its total energy. Geometrically, if you think of the signal as a curve in an infinite-dimensional space, the functional is a projection onto a single dimension that measures its "size" or "magnitude" in a specific sense. For a simple sine wave, this functional gives a finite value representing its power	A functional is a map from a signal (a function of time) to a single number, used to analyze or extract features from the signal.
Functional, Lyapunov functional in dynamical systems is a key example. For a given dynamical system, a Lyapunov functional is a scalar function (functional) of the state (a function of time) that decreases along the trajectories of the system. . The existence of a Lyapunov functional guarantees the stability of a fixed point. Geometrically, the level sets of the functional form nested "bowls" or "basins" around the fixed point. The system's trajectory moves from a higher level set to a lower one, eventually "falling" into the minimum of the bowl at the stable fixed point	A functional is a non-linear map from a function space to the real numbers. They are used to study the existence and properties of solutions to nonlinear equations.
Functional, dual space of a normed vector space V, denoted V∗, is the space of all continuous linear functionals on V. . For a Hilbert space, the Riesz representation theorem states that every continuous linear functional f can be represented as an inner product with a unique vector y, i.e., f(x)=⟨x,y⟩. The geometric intuition is that every "direction" in the vector space corresponds to a unique vector in the dual space. The functional "projects" any vector x onto this direction, giving a single number that tells you "how much" of x is in the direction of y	A functional is a linear map from a normed vector space to its scalar field, specifically a continuous linear functional.
Operator, linear transformation in R2 represented by a matrix. The matrix rotates, stretches, or shears a vector to a new location. An operator is a similar rule, but for functions. For example, the operator that takes a function and squares it is a nonlinear operator	An operator is a mapping between vector spaces.
Operator, subgradient operator maps a point on a convex function to a set of subgradients. For a convex function that is not everywhere differentiable, like f(x)= |x|, the subgradient at x=0 is the entire interval [−1,1]. The operator is the rule that maps x=0 to this set. The proximal map is an operator that projects a point onto a convex set	An operator can represent a proximal map or a subgradient operator.
Operator, eigenvalues of a matrix reveal its fundamental properties (e.g., whether it rotates or stretches), the spectrum of an operator reveals its underlying structure. The eigenfunctions of the Laplacian on a drumhead reveal its fundamental modes of vibration. An operator is the physical object (the drumhead) and its spectrum is the set of all its possible vibrations	"An operator is a machine whose internal workings are revealed by its spectrum."
Operator, conditional expectation operator takes a random variable and projects it onto a subspace of random variables that are measurable with respect to a sub-sigma-algebra. Imagine a random variable on a plane and a line on that plane. The operator takes the random variable and projects its distribution onto the line	An operator can represent the conditional expectation.
Operator, derivative operator D is an operator that takes a function and gives its derivative. When acting on a distribution, it gives another distribution. For example, the derivative of the Heaviside step function is the Dirac delta function. The operator is a rule that transforms one generalized function into another	An operator is a continuous linear map from a space of test functions to a space of distributions, or vice versa.
Operator, curved space, like a sphere, the concept of a derivative is generalized. The Laplacian operator on a sphere takes a function on the sphere and gives another function. The operator is the rule for "differentiation" on a curved space	An operator is a differential operator on a manifold, like the Laplacian on a sphere.
Operator, stochastic process like a random walk, the generator is an operator that describes the "infinitesimal" change in the process. For a simple random walk, the generator is the discrete Laplacian. It's the "engine" that produces the random motion	An operator is the generator of a stochastic process.
Operator, representation of a group is a way of "realizing" the group's abstract elements as operators on a vector space. For example, the group of rotations in 3D can be represented by operators (matrices) that act on vectors in R3. The operator is the "physical manifestation" of an abstract group element	An operator is a representation of a group.
Derived category, conceptual compression	Compresses it the notion of a category down to a homological core.
Derived category, quasi-isomorphisms	Quasi-isomorphisms are treated as if they are isomorphisms
Derived category, homotopy category	category, objects are chain complexes, morphisms are chain homotopies of chain maps
Derived category, localization of category of complexes	Localisation of category of complexes with respect to the class of all quasi-isomorphisms, formalises inverting a set of maps
Derived category, formal inverses	To build it, add a formal inverse for every quasi-isomorphism
Derived category, fuzzy equality	Two complexes are equal if they are related by a chain of quasi-isomorphisms, a kind of fuzzy equality
Derived category, reducing dimension	Takes a complex, sequence of object, and squash it down, retaining only the homology groups
Derived category, cohomology as invariant	Since quasi-isomorphisms are inverted in defining an invariant category, therefore cohomology does not change.
Derived category, triangulated category	Shift functors and distinguished triangles can be used to define a derived category
Derived category, generalises non-abelian categories	Do homological algebra without commutative and additive structure of abelian category
Derived category, algebraic topology	Algebra of homotopy category of topological space
Derived category, new invariants	Define derived functors that are more robust
Derived category, universal property	Unique category that inverts quasi-isomorphisms most efficiently
Derived category, formalises equivalence of non-strictly isomorphic objects	Equivalence of two non-strictly isomorphic objects
Group, set of symmetries	Set of symmetries of an object, composition of symmetries is group operation
Group, action	set of transformations that act on sets
Group, axioms	unital, associative invertible closed magma
Group, puzzle	elements are moves that change the state of a puzzle (Rubik's cube)
Group, non-empty set with single operation	Defined by one operation, unlike rings or fields
Group, cancellation laws	If ab = ac, b = c, solvability of equations
Group, monoid with inverses	They are monoids with inverses.
Group, group object	A group is a group object in the category of Sets.
Group, category of one object	Category with one object, group elements are morphisms, group operation is categorical composition
Group, holes are abelian since there is no natural order	homology groups are abelian is that the "holes" don't have a natural order or direction. A loop can be traversed clockwise or counterclockwise, and the sum of two loops is the same regardless of which one you add first.
Coset, set of elements	multiply subgroup by fixed element
Coset, equivalence class related to which element in subgroup	TFAE: xy^-1 in subgroup, x related to y. Form equivalence class
Coset, partition	Partition group into disjoint subsets, each subset same size as subgroup H
Coset, translate of subgroup	translate subgroup H by element g in G, represented by gH (left coset), or Hg (right coset). This is somewhat related to the Haar measure.
Coset, orbit of element	Coset is orbit of element g under action of subgroup H by right multiplication, gives coset gH (left coset)
Coset, homogenous space	Coset space is a homogenous space, G acts transitively on the set of cosets.
Coset, fibre of homomorphism	if the homomorphism from a group G to the quotient G/H is a canonical projection homomorphism, then the coset is fibre of this map, specifically the preimage of a single element in the quotient group.
Coset, compositional	object, elements of a group, structure is action of subgroup
Coset, state space	Coset partition the state space, each coset is equivalent states, state is group element
